question_id,question_type,question_text,gold_chunk_ids,top_5_chunk_ids,gold_ranks,first_relevant_rank,precision_at_5,recall_at_5,reciprocal_rank,ndcg_at_5
1,factoid,"Does Material UI include a Menubar component out of the box, and what do I need to install to use the menubar shown in the docs?","[""prose__menubar__chunk_0001""]","[""prose__menubar__chunk_0001"", ""prose__menubar__chunk_0002"", ""prose__menubar__chunk_0003"", ""prose__faq__chunk_0013"", ""prose__number-field__chunk_0001""]","{""prose__menubar__chunk_0001"": 1}",1,0.2,1.0,1.0,1.0
2,factoid,Which prop keeps the CircularProgress track visible at all times?,"[""prose__progress__chunk_0007""]","[""prose__progress__chunk_0007"", ""prose__progress__chunk_0006"", ""prose__bottom-navigation__chunk_0002"", ""prose__bottom-navigation__chunk_0001"", ""prose__material-ui-sync__chunk_0006__part_002""]","{""prose__progress__chunk_0007"": 1}",1,0.2,1.0,1.0,1.0
3,factoid,From which Material UI version is the loading prop available on Button?,"[""prose__buttons__chunk_0015""]","[""prose__upgrade-to-v6__chunk_0026"", ""prose__upgrade-to-v6__chunk_0027"", ""prose__buttons__chunk_0015"", ""prose__button-group__chunk_0007"", ""prose__upgrade-to-v6__chunk_0009""]","{""prose__buttons__chunk_0015"": 3}",3,0.2,1.0,0.3333333333333333,0.5
4,factoid,Why does showing a tooltip on touch devices require a long press?,"[""prose__tooltips__chunk_0009""]","[""prose__speed-dial__chunk_0005"", ""prose__speed-dial__chunk_0006"", ""prose__tooltips__chunk_0009"", ""prose__tooltips__chunk_0008"", ""prose__usage__usage__chunk_0003""]","{""prose__tooltips__chunk_0009"": 3}",3,0.2,1.0,0.3333333333333333,0.5
5,factoid,"How do I customize the surplus avatar in an AvatarGroup, and what argument does the callback receive?","[""prose__avatars__chunk_0009""]","[""prose__avatars__chunk_0009"", ""prose__avatars__chunk_0010"", ""prose__migrating-from-deprecated-apis__chunk_0024"", ""prose__upgrade-to-v9__chunk_0032"", ""prose__faq__chunk_0013""]","{""prose__avatars__chunk_0009"": 1}",1,0.2,1.0,1.0,1.0
6,factoid,"Which Badge prop caps large numeric values, and what value does it cap at by default?","[""api__badge__chunk_0001""]","[""prose__badges__chunk_0005"", ""prose__badges__chunk_0006"", ""prose__avatars__chunk_0011"", ""prose__palette__chunk_0008"", ""prose__text-fields__chunk_0022""]","{""api__badge__chunk_0001"": 19}",19,0.0,0.0,0.05263157894736842,0.0
7,factoid,"Which prop limits how many avatars an AvatarGroup shows, and what is its default value?","[""api__avatar-group__chunk_0001""]","[""prose__avatars__chunk_0008"", ""prose__avatars__chunk_0007"", ""prose__v5-component-changes__chunk_0019"", ""prose__api__chunk_0008"", ""prose__dividers__chunk_0010""]","{""api__avatar-group__chunk_0001"": 61}",61,0.0,0.0,0.01639344262295082,0.0
8,multi-hop,"Which Rating prop sets the minimum increment the value can change by, and what is that prop's default?","[""prose__rating__chunk_0002"", ""api__rating__chunk_0001""]","[""prose__rating__chunk_0002"", ""prose__rating__chunk_0003"", ""prose__slider__chunk_0005"", ""prose__slider__chunk_0004"", ""prose__v5-component-changes__chunk_0116""]","{""prose__rating__chunk_0002"": 1, ""api__rating__chunk_0001"": 23}",1,0.2,0.5,1.0,0.6131471927654584
9,multi-hop,"Which Slider prop controls stepping with Page Up/Down or Shift plus arrow keys, and what is its default compared to the default step?","[""prose__slider__chunk_0004"", ""api__slider__chunk_0001""]","[""prose__slider__chunk_0004"", ""prose__slider__chunk_0005"", ""prose__upgrade-to-v9__chunk_0020"", ""prose__upgrade-to-v9__chunk_0021"", ""prose__palette__chunk_0009""]","{""prose__slider__chunk_0004"": 1, ""api__slider__chunk_0001"": 111}",1,0.2,0.5,1.0,0.6131471927654584
10,multi-hop,"Masonry orders its children by row. Which component should I use instead to order images by column, and what determines the container heights there?","[""prose__masonry__chunk_0002"", ""prose__image-list__chunk_0004""]","[""prose__masonry__chunk_0002"", ""prose__masonry__chunk_0003"", ""prose__masonry__chunk_0001"", ""prose__grid__chunk_0012"", ""prose__table__chunk_0002""]","{""prose__masonry__chunk_0002"": 1, ""prose__image-list__chunk_0004"": 8}",1,0.2,0.5,1.0,0.6131471927654584
MEAN,,,,,,,0.16,0.65,0.6735691688236985,0.5839441578296375
