question_id,question_type,question_text,gold_chunk_ids,top_5_chunk_ids,gold_ranks,first_relevant_rank,precision_at_5,recall_at_5,reciprocal_rank,ndcg_at_5
1,factoid,"Does Material UI include a Menubar component out of the box, and what do I need to install to use the menubar shown in the docs?","[""prose__menubar__chunk_0001""]","[""prose__menubar__chunk_0001"", ""prose__menubar__chunk_0008"", ""prose__menubar__chunk_0002"", ""prose__menubar__chunk_0006"", ""prose__menubar__chunk_0007""]","{""prose__menubar__chunk_0001"": 1}",1,0.2,1.0,1.0,1.0
2,factoid,Which prop keeps the CircularProgress track visible at all times?,"[""prose__progress__chunk_0007""]","[""api__circular-progress__chunk_0001"", ""prose__progress__chunk_0007"", ""prose__progress__chunk_0002"", ""prose__progress__chunk_0006"", ""prose__progress__chunk_0003""]","{""prose__progress__chunk_0007"": 2}",2,0.2,1.0,0.5,0.6309297535714575
3,factoid,From which Material UI version is the loading prop available on Button?,"[""prose__buttons__chunk_0015""]","[""prose__upgrade-to-v6__chunk_0026"", ""prose__upgrade-to-v6__chunk_0027"", ""prose__supported-platforms__chunk_0003"", ""prose__buttons__chunk_0013"", ""prose__versions__chunk_0001""]","{""prose__buttons__chunk_0015"": 13}",13,0.0,0.0,0.07692307692307693,0.0
4,factoid,Why does showing a tooltip on touch devices require a long press?,"[""prose__tooltips__chunk_0009""]","[""prose__tooltips__chunk_0001"", ""prose__tooltips__chunk_0017"", ""api__tooltip__chunk_0001"", ""prose__tooltips__chunk_0009"", ""prose__tooltips__chunk_0016""]","{""prose__tooltips__chunk_0009"": 4}",4,0.2,1.0,0.25,0.43067655807339306
5,factoid,"How do I customize the surplus avatar in an AvatarGroup, and what argument does the callback receive?","[""prose__avatars__chunk_0009""]","[""prose__avatars__chunk_0009"", ""prose__avatars__chunk_0010"", ""prose__avatars__chunk_0008"", ""api__avatar-group__chunk_0001"", ""prose__avatars__chunk_0007""]","{""prose__avatars__chunk_0009"": 1}",1,0.2,1.0,1.0,1.0
6,factoid,"Which Badge prop caps large numeric values, and what value does it cap at by default?","[""api__badge__chunk_0001""]","[""prose__badges__chunk_0006"", ""api__badge__chunk_0001"", ""prose__badges__chunk_0005"", ""api__rating__chunk_0001"", ""prose__badges__chunk_0003""]","{""api__badge__chunk_0001"": 2}",2,0.2,1.0,0.5,0.6309297535714575
7,factoid,"Which prop limits how many avatars an AvatarGroup shows, and what is its default value?","[""api__avatar-group__chunk_0001""]","[""api__avatar-group__chunk_0001"", ""prose__avatars__chunk_0008"", ""prose__avatars__chunk_0007"", ""prose__avatars__chunk_0009"", ""prose__avatars__chunk_0011""]","{""api__avatar-group__chunk_0001"": 1}",1,0.2,1.0,1.0,1.0
8,multi-hop,"Which Rating prop sets the minimum increment the value can change by, and what is that prop's default?","[""prose__rating__chunk_0002"", ""api__rating__chunk_0001""]","[""api__rating__chunk_0001"", ""prose__rating__chunk_0002"", ""prose__rating__chunk_0003"", ""prose__rating__chunk_0004"", ""prose__rating__chunk_0009""]","{""prose__rating__chunk_0002"": 2, ""api__rating__chunk_0001"": 1}",1,0.4,1.0,1.0,1.0
9,multi-hop,"Which Slider prop controls stepping with Page Up/Down or Shift plus arrow keys, and what is its default compared to the default step?","[""prose__slider__chunk_0004"", ""api__slider__chunk_0001""]","[""api__slider__chunk_0001"", ""api__stepper__chunk_0001"", ""api__mobile-stepper__chunk_0001"", ""api__pagination__chunk_0001"", ""api__slide__chunk_0001""]","{""prose__slider__chunk_0004"": 35, ""api__slider__chunk_0001"": 1}",1,0.2,0.5,1.0,0.6131471927654584
10,multi-hop,"Masonry orders its children by row. Which component should I use instead to order images by column, and what determines the container heights there?","[""prose__masonry__chunk_0002"", ""prose__image-list__chunk_0004""]","[""prose__masonry__chunk_0003"", ""prose__masonry__chunk_0002"", ""prose__masonry__chunk_0001"", ""prose__masonry__chunk_0004"", ""prose__masonry__chunk_0006""]","{""prose__masonry__chunk_0002"": 2, ""prose__image-list__chunk_0004"": 21}",2,0.2,0.5,0.5,0.38685280723454163
MEAN,,,,,,,0.2,0.8,0.6826923076923077,0.6692536065216308
